index,status,video_id,title,url,duration,output_file,transcript_chars,source
1,saved,VfeG4TJM4tg,I Built a Claude Memory System for Finance (Permanent Memory),https://www.youtube.com/watch?v=VfeG4TJM4tg,17:23,I Built a Claude Memory System for Finance (Permanent Memory).md,15927,NotebookLM YouTube transcript import
2,saved,KqOr8_nlj3U,I Tried 100+ Claude Finance Skills. These 6 Are The Best,https://www.youtube.com/watch?v=KqOr8_nlj3U,21:21,I Tried 100+ Claude Finance Skills. These 6 Are The Best.md,18808,NotebookLM YouTube transcript import
3,saved,B8CiCDpYwlc,How to Use Claude Design For Finance Like a Pro (Full Tutorial),https://www.youtube.com/watch?v=B8CiCDpYwlc,18:09,How to Use Claude Design For Finance Like a Pro (Full Tutorial).md,15297,NotebookLM YouTube transcript import
4,saved,WR74r02B1Gg,I Built a 24/7 Finance Analyst Agent With Claude,https://www.youtube.com/watch?v=WR74r02B1Gg,25:25,I Built a 24-7 Finance Analyst Agent With Claude.md,21665,NotebookLM YouTube transcript import
5,saved,SEfTzPr7wC0,5 Claude Skills Every Finance Professional Needs,https://www.youtube.com/watch?v=SEfTzPr7wC0,17:43,5 Claude Skills Every Finance Professional Needs.md,15821,NotebookLM YouTube transcript import
6,saved,6B9mP3d2lxc,Full Claude For Finance Beginner Tutorial (Complete Guide),https://www.youtube.com/watch?v=6B9mP3d2lxc,22:41,Full Claude For Finance Beginner Tutorial (Complete Guide).md,20946,NotebookLM YouTube transcript import
7,saved,gzZ6Pvt5L1M,I Built a Self-Updating Finance Dashboard With Claude (Full Tutorial),https://www.youtube.com/watch?v=gzZ6Pvt5L1M,16:07,I Built a Self-Updating Finance Dashboard With Claude (Full Tutorial).md,13563,NotebookLM YouTube transcript import
8,saved,s46li-hlYsQ,5 Claude Plugins to 10x Your Finance Work,https://www.youtube.com/watch?v=s46li-hlYsQ,18:30,5 Claude Plugins to 10x Your Finance Work.md,16257,NotebookLM YouTube transcript import
9,saved,BhKdOfKPSaY,I Built an Entire AI Finance Team With Claude (Full Tutorial),https://www.youtube.com/watch?v=BhKdOfKPSaY,16:06,I Built an Entire AI Finance Team With Claude (Full Tutorial).md,13970,NotebookLM YouTube transcript import
10,saved,otB1byZUvAA,How I Use Claude to Automate Financial Dashboards,https://www.youtube.com/watch?v=otB1byZUvAA,13:05,How I Use Claude to Automate Financial Dashboards.md,12719,NotebookLM YouTube transcript import
11,saved,N1No8NQ16Xc,How I Use Claude to Automate Financial Forecasting (Full Tutorial),https://www.youtube.com/watch?v=N1No8NQ16Xc,15:06,How I Use Claude to Automate Financial Forecasting (Full Tutorial).md,13801,NotebookLM YouTube transcript import
12,saved,BVjqJuAnyPo,Why I Switched From ChatGPT to Claude For Finance (you should too),https://www.youtube.com/watch?v=BVjqJuAnyPo,17:15,Why I Switched From ChatGPT to Claude For Finance (you should too).md,14921,NotebookLM YouTube transcript import
13,saved,nT9FboXdfrM,How to use Claude Cowork For Finance Better than 99% of People,https://www.youtube.com/watch?v=nT9FboXdfrM,17:22,How to use Claude Cowork For Finance Better than 99% of People.md,15700,NotebookLM YouTube transcript import
14,saved,zw_qZsNQeOc,Why Claude Cowork Is a Game Changer For Finance Professionals,https://www.youtube.com/watch?v=zw_qZsNQeOc,14:52,Why Claude Cowork Is a Game Changer For Finance Professionals.md,14112,NotebookLM YouTube transcript import
15,saved,PPuRhv4I058,How I Use Claude to Automate Financial Modeling (Full Tutorial),https://www.youtube.com/watch?v=PPuRhv4I058,15:07,How I Use Claude to Automate Financial Modeling (Full Tutorial).md,13494,NotebookLM YouTube transcript import
16,saved,2hyQmaxmN2g,How to Build Finance Dashboards with Claude in Minutes (Full Tutorial),https://www.youtube.com/watch?v=2hyQmaxmN2g,19:21,How to Build Finance Dashboards with Claude in Minutes (Full Tutorial).md,15271,NotebookLM YouTube transcript import
17,saved,6u-mdwstYLw,How to Use AI for Finance Better Than 99% of Professionals,https://www.youtube.com/watch?v=6u-mdwstYLw,18:25,How to Use AI for Finance Better Than 99% of Professionals.md,14445,NotebookLM YouTube transcript import
18,saved,oZLULcoal7Y,Best AI Tools for Finance Professionals in 2026,https://www.youtube.com/watch?v=oZLULcoal7Y,20:29,Best AI Tools for Finance Professionals in 2026.md,17623,NotebookLM YouTube transcript import
19,saved,TxlWy9OwWWQ,How to Start Using AI for Finance Professionals in 2026,https://www.youtube.com/watch?v=TxlWy9OwWWQ,14:50,How to Start Using AI for Finance Professionals in 2026.md,13048,NotebookLM YouTube transcript import
20,saved,zOADAeF0L_0,How to Do Financial Analysis with Claude in Minutes (Full Tutorial),https://www.youtube.com/watch?v=zOADAeF0L_0,23:35,How to Do Financial Analysis with Claude in Minutes (Full Tutorial).md,20259,NotebookLM YouTube transcript import
21,saved,dTPndJ5VG_I,How to Build a Reusable Finance Workflow in Claude 2.0 (Full Tutorial),https://www.youtube.com/watch?v=dTPndJ5VG_I,16:06,How to Build a Reusable Finance Workflow in Claude 2.0 (Full Tutorial).md,14269,NotebookLM YouTube transcript import
22,saved,6OCksuxTkGQ,Claude For Finance: 5 Advanced Tips That Feel Like Cheating,https://www.youtube.com/watch?v=6OCksuxTkGQ,20:52,Claude For Finance- 5 Advanced Tips That Feel Like Cheating.md,17518,NotebookLM YouTube transcript import
